district,hour,pop0
1,05:00:00,18668.42
2,05:00:00,6528.01
3,05:00:00,12328.99
4,05:00:00,13680.56
5,05:00:00,17303.44
6,05:00:00,13317.32
7,05:00:00,10419.2
8,05:00:00,9770.34
9,05:00:00,11977.43
10,05:00:00,14932.18
11,05:00:00,12936.15
12,05:00:00,6864.02
13,05:00:00,13213.67
14,05:00:00,8227.06
15,05:00:00,7743.48
16,05:00:00,11461.98
17,05:00:00,9770.55
18,05:00:00,13902.84
19,05:00:00,7600.14
20,05:00:00,13182.95
21,05:00:00,12487.99
22,05:00:00,5186.45
23,05:00:00,8131.85
24,05:00:00,12586.4
25,05:00:00,13364.07
26,05:00:00,7823.17
27,05:00:00,13992.26
28,05:00:00,11241.11
29,05:00:00,4515.12
30,05:00:00,11657.36
31,05:00:00,13501.71
32,05:00:00,6679.15
33,05:00:00,9970.63
34,05:00:00,10969.16
35,05:00:00,10257.11
36,05:00:00,10928.52
37,05:00:00,11137.53
38,05:00:00,6102.23
39,05:00:00,3716.53
41,05:00:00,18465.51
42,05:00:00,11543.66
43,05:00:00,9272.84
44,05:00:00,18815.56
45,05:00:00,4317.66
46,05:00:00,6948.55
47,05:00:00,11373.97
48,05:00:00,7374.04
49,05:00:00,7143.4
50,05:00:00,25723.1
51,05:00:00,17107.75
52,05:00:00,34240.89
53,05:00:00,25414.12
54,05:00:00,17583.94
55,05:00:00,27673.13
56,05:00:00,9631.59
57,05:00:00,15542.49
58,05:00:00,18295.32
59,05:00:00,8445.01
60,05:00:00,15500.39
61,05:00:00,20038.14
62,05:00:00,15573.77
63,05:00:00,9018.35
64,05:00:00,8160.04
65,05:00:00,7688.56
66,05:00:00,14686.73
67,05:00:00,18438.54
68,05:00:00,9552.17
